-0.3865,-0.0259,-0.0458,-0.0029,-0.0034,-0.0002,-0.0002
-0.2995,-0.0013,-0.0810,-0.0017,-0.0061,-0.0001,-0.0002
-0.3896,0.0348,-0.0421,0.0073,-0.0047,0.0006,-0.0005
-0.4143,0.0200,-0.0361,0.0016,-0.0015,0.0001,0.0000
-0.4079,0.0386,-0.0370,0.0022,-0.0029,0.0002,-0.0001
-0.3190,0.0074,-0.0729,0.0086,-0.0057,0.0007,-0.0002
-0.3145,-0.0056,-0.0755,-0.0069,-0.0054,-0.0006,-0.0002
-0.3056,0.0117,-0.0742,0.0056,-0.0085,0.0004,-0.0007
-0.3878,0.0020,-0.0470,-0.0003,-0.0022,-0.0000,-0.0000
-0.3435,-0.0126,-0.0634,-0.0069,-0.0046,-0.0005,-0.0002
-0.3096,0.0066,-0.0756,0.0101,-0.0066,0.0010,-0.0004
-0.3133,-0.0069,-0.0746,-0.0039,-0.0063,-0.0003,-0.0003
-0.3630,-0.0186,-0.0536,0.0005,-0.0051,0.0002,-0.0005
-0.3182,0.0019,-0.0739,0.0018,-0.0052,0.0001,-0.0002
-0.3839,-0.0420,-0.0464,-0.0037,-0.0038,-0.0003,-0.0002
-0.2858,-0.0053,-0.0826,-0.0036,-0.0090,-0.0004,-0.0007
-0.2620,-0.0009,-0.0932,0.0019,-0.0093,0.0003,-0.0005
-0.2753,-0.0026,-0.0862,-0.0072,-0.0097,-0.0010,-0.0007
-0.3858,0.0418,-0.0431,0.0022,-0.0052,0.0003,-0.0005
-0.2512,-0.0007,-0.0941,0.0036,-0.0117,0.0004,-0.0009
-0.3655,-0.0053,-0.0538,-0.0039,-0.0043,-0.0003,-0.0003
-0.3523,0.0327,-0.0581,0.0081,-0.0054,0.0007,-0.0004
-0.3225,-0.0007,-0.0727,-0.0022,-0.0048,-0.0002,-0.0002
-0.3940,0.0337,-0.0440,0.0042,-0.0024,0.0002,-0.0000
-0.2900,0.0079,-0.0804,0.0071,-0.0091,0.0009,-0.0007
-0.3195,-0.0119,-0.0719,-0.0082,-0.0062,-0.0007,-0.0003
-0.3831,-0.0333,-0.0462,-0.0011,-0.0041,-0.0001,-0.0003
-0.3434,0.0160,-0.0643,0.0079,-0.0041,0.0005,-0.0002
-0.3870,-0.0238,-0.0425,-0.0027,-0.0052,-0.0004,-0.0005
-0.3437,0.0227,-0.0631,0.0083,-0.0048,0.0006,-0.0002
-0.3243,0.0021,-0.0690,0.0029,-0.0064,0.0003,-0.0005
-0.3633,-0.0323,-0.0542,-0.0078,-0.0047,-0.0006,-0.0003
-0.3359,-0.0106,-0.0660,-0.0047,-0.0051,-0.0004,-0.0003
-0.3580,-0.0583,-0.0555,-0.0063,-0.0054,-0.0006,-0.0005
-0.3279,-0.0197,-0.0673,-0.0058,-0.0066,-0.0006,-0.0005
-0.2654,0.0004,-0.0935,-0.0007,-0.0081,-0.0001,-0.0003
-0.2577,-0.0013,-0.0918,0.0062,-0.0112,0.0009,-0.0009
-0.2887,-0.0057,-0.0820,-0.0092,-0.0086,-0.0011,-0.0005
-0.2746,0.0011,-0.0891,-0.0064,-0.0082,-0.0008,-0.0004
-0.2651,0.0046,-0.0892,-0.0082,-0.0106,-0.0009,-0.0009
-0.3849,0.0315,-0.0459,0.0027,-0.0038,0.0002,-0.0003
-0.3705,-0.0263,-0.0503,-0.0084,-0.0051,-0.0007,-0.0004
-0.2705,0.0027,-0.0894,-0.0090,-0.0092,-0.0011,-0.0005
-0.2996,-0.0041,-0.0805,-0.0087,-0.0065,-0.0008,-0.0003
-0.3444,-0.0245,-0.0605,-0.0062,-0.0060,-0.0007,-0.0006
-0.3748,0.0348,-0.0487,0.0030,-0.0048,0.0003,-0.0005
-0.3813,-0.0629,-0.0480,-0.0045,-0.0036,-0.0004,-0.0002
-0.3636,0.0143,-0.0554,0.0005,-0.0039,0.0001,-0.0002
-0.3962,0.0525,-0.0419,0.0074,-0.0032,0.0004,-0.0001
-0.3423,-0.0200,-0.0615,-0.0069,-0.0061,-0.0006,-0.0005
-0.3427,-0.0164,-0.0617,-0.0103,-0.0059,-0.0009,-0.0004
-0.3194,-0.0042,-0.0700,-0.0085,-0.0072,-0.0010,-0.0006
-0.3431,0.0153,-0.0606,-0.0008,-0.0063,-0.0003,-0.0006
-0.3818,-0.0091,-0.0497,-0.0014,-0.0023,-0.0001,-0.0000
-0.2946,0.0003,-0.0797,0.0015,-0.0082,0.0002,-0.0006
-0.3150,-0.0010,-0.0724,-0.0045,-0.0070,-0.0005,-0.0006
-0.2758,0.0002,-0.0855,-0.0049,-0.0099,-0.0006,-0.0009
-0.3331,0.0144,-0.0646,0.0021,-0.0067,0.0001,-0.0006
-0.3489,0.0106,-0.0576,0.0105,-0.0065,0.0012,-0.0007
-0.2727,-0.0022,-0.0876,0.0064,-0.0095,0.0010,-0.0007
-0.3674,0.0274,-0.0541,0.0075,-0.0037,0.0004,-0.0001
-0.4073,-0.0203,-0.0341,0.0023,-0.0047,0.0002,-0.0005
-0.3565,-0.0179,-0.0573,-0.0075,-0.0048,-0.0006,-0.0003
